IPS ID,Event Time,Location,Instruments,Catalog
2010-01-20T20:20:00-IPS-001,2010-01-20T20:20Z,STEREO B,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-02-05T03:33:00-IPS-001,2010-02-05T03:33Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-02-14T07:50:00-IPS-001,2010-02-14T07:50Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-03-05T18:25:00-IPS-001,2010-03-05T18:25Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-04-05T07:54:00-IPS-001,2010-04-05T07:54Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2010-04-09T18:00:00-IPS-001,2010-04-09T18:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-04-11T13:04:00-IPS-001,2010-04-11T13:04Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-04-13T22:11:00-IPS-001,2010-04-13T22:11Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-04-23T00:35:00-IPS-001,2010-04-23T00:35Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-04-30T06:00:00-IPS-001,2010-04-30T06:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-05-28T02:00:00-IPS-001,2010-05-28T02:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-05-30T15:00:00-IPS-001,2010-05-30T15:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-06-03T08:36:00-IPS-001,2010-06-03T08:36Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-06-07T04:08:00-IPS-001,2010-06-07T04:08Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-06-15T04:04:00-IPS-001,2010-06-15T04:04Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-06-16T16:20:00-IPS-001,2010-06-16T16:20Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-06-20T20:00:00-IPS-001,2010-06-20T20:00Z,Earth,DSCOVR: PLASMAG,SWRC_CATALOG
2010-06-23T08:00:00-IPS-001,2010-06-23T08:00Z,STEREO B,STEREO B: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-08-03T05:00:00-IPS-001,2010-08-03T05:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-08-03T14:20:00-IPS-001,2010-08-03T14:20Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-08-03T16:56:00-IPS-001,2010-08-03T16:56Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2010-08-17T17:40:00-IPS-001,2010-08-17T17:40Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-08-20T16:00:00-IPS-001,2010-08-20T16:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-08-30T21:38:00-IPS-001,2010-08-30T21:38Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-09-07T08:29:00-IPS-001,2010-09-07T08:29Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-09-11T07:00:00-IPS-001,2010-09-11T07:00Z,STEREO A,STEREO A: PLASTIC;STEREO A: IMPACT;,SWRC_CATALOG
2010-09-15T12:00:00-IPS-001,2010-09-15T12:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-09-16T10:50:00-IPS-001,2010-09-16T10:50Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-09-17T22:34:00-IPS-001,2010-09-17T22:34Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-09-19T23:22:00-IPS-001,2010-09-19T23:22Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-10-11T06:00:00-IPS-001,2010-10-11T06:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-10-17T01:11:00-IPS-001,2010-10-17T01:11Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2010-10-30T09:00:00-IPS-001,2010-10-30T09:00Z,STEREO A,STEREO A: PLASTIC;STEREO A: IMPACT;,SWRC_CATALOG
2010-10-30T17:30:00-IPS-001,2010-10-30T17:30Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-10-31T02:09:00-IPS-001,2010-10-31T02:09Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2010-11-08T02:46:00-IPS-001,2010-11-08T02:46Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-11-19T20:26:00-IPS-001,2010-11-19T20:26Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-12-02T02:40:00-IPS-001,2010-12-02T02:40Z,STEREO B,STEREO B: PLASTIC;STEREO B: IMPACT;,SWRC_CATALOG
2010-12-14T17:00:00-IPS-001,2010-12-14T17:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2010-12-16T20:00:00-IPS-001,2010-12-16T20:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-12-25T20:20:00-IPS-001,2010-12-25T20:20Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2010-12-28T03:00:00-IPS-001,2010-12-28T03:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-01-16T05:40:00-IPS-001,2011-01-16T05:40Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-01-17T15:46:00-IPS-001,2011-01-17T15:46Z,STEREO B,STEREO B: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-01-18T12:50:00-IPS-001,2011-01-18T12:50Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-01-24T07:00:00-IPS-001,2011-01-24T07:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-01-26T15:09:00-IPS-001,2011-01-26T15:09Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-02-01T10:25:00-IPS-001,2011-02-01T10:25Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-02-03T10:35:00-IPS-001,2011-02-03T10:35Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-02-03T17:00:00-IPS-001,2011-02-03T17:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-02-04T13:00:00-IPS-001,2011-02-04T13:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-02-18T01:00:00-IPS-001,2011-02-18T01:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-02-26T08:26:00-IPS-001,2011-02-26T08:26Z,STEREO B,STEREO B: PLASTIC;STEREO B: IMPACT;,SWRC_CATALOG
2011-03-06T03:31:00-IPS-001,2011-03-06T03:31Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-03-09T06:47:00-IPS-001,2011-03-09T06:47Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-03-10T07:00:00-IPS-001,2011-03-10T07:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-03-11T05:23:00-IPS-001,2011-03-11T05:23Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-03-12T00:25:00-IPS-001,2011-03-12T00:25Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-03-19T11:00:00-IPS-001,2011-03-19T11:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-03-20T15:46:00-IPS-001,2011-03-20T15:46Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-03-22T03:57:00-IPS-001,2011-03-22T03:57Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-03-22T18:00:00-IPS-001,2011-03-22T18:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-03-28T09:00:00-IPS-001,2011-03-28T09:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-03-29T15:09:00-IPS-001,2011-03-29T15:09Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2011-03-31T23:38:00-IPS-001,2011-03-31T23:38Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-04-01T00:00:00-IPS-001,2011-04-01T00:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-04-01T16:00:00-IPS-001,2011-04-01T16:00Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2011-04-04T17:00:00-IPS-001,2011-04-04T17:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-04-05T18:00:00-IPS-001,2011-04-05T18:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-04-05T21:43:00-IPS-001,2011-04-05T21:43Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-04-11T08:00:00-IPS-001,2011-04-11T08:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-04-11T12:08:00-IPS-001,2011-04-11T12:08Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-04-12T03:09:00-IPS-001,2011-04-12T03:09Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-04-15T07:52:00-IPS-001,2011-04-15T07:52Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-04-21T07:12:00-IPS-001,2011-04-21T07:12Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-04-23T10:00:00-IPS-001,2011-04-23T10:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-04-28T09:00:00-IPS-001,2011-04-28T09:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-05-04T19:06:00-IPS-001,2011-05-04T19:06Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-05-06T22:00:00-IPS-001,2011-05-06T22:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-05-12T05:00:00-IPS-001,2011-05-12T05:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-05-19T11:50:00-IPS-001,2011-05-19T11:50Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-05-28T01:00:00-IPS-001,2011-05-28T01:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-05-28T06:00:00-IPS-001,2011-05-28T06:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-06-01T07:00:00-IPS-001,2011-06-01T07:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-06-04T15:12:00-IPS-001,2011-06-04T15:12Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-06-04T20:00:00-IPS-001,2011-06-04T20:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-06-05T03:31:00-IPS-001,2011-06-05T03:31Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-06-05T19:00:00-IPS-001,2011-06-05T19:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-06-08T04:25:00-IPS-001,2011-06-08T04:25Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-06-17T04:00:00-IPS-001,2011-06-17T04:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-06-17T07:40:00-IPS-001,2011-06-17T07:40Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-06-21T18:01:00-IPS-001,2011-06-21T18:01Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-06-23T02:00:00-IPS-001,2011-06-23T02:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-06-26T18:10:00-IPS-001,2011-06-26T18:10Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-06-30T13:18:00-IPS-001,2011-06-30T13:18Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-07-03T01:00:00-IPS-001,2011-07-03T01:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-07-12T03:47:00-IPS-001,2011-07-12T03:47Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-07-14T12:00:00-IPS-001,2011-07-14T12:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-07-23T07:05:00-IPS-001,2011-07-23T07:05Z,STEREO B,STEREO B: PLASTIC;STEREO B: IMPACT;,SWRC_CATALOG
2011-07-23T09:41:00-IPS-001,2011-07-23T09:41Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-08-04T21:00:00-IPS-001,2011-08-04T21:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-08-05T17:20:00-IPS-001,2011-08-05T17:20Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-08-06T12:42:00-IPS-001,2011-08-06T12:42Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-08-13T19:43:00-IPS-001,2011-08-13T19:43Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-08-20T21:51:00-IPS-001,2011-08-20T21:51Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-09-04T22:40:00-IPS-001,2011-09-04T22:40Z,Earth,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-09-06T23:33:00-IPS-001,2011-09-06T23:33Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-09-08T10:00:00-IPS-001,2011-09-08T10:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-08T16:10:00-IPS-001,2011-09-08T16:10Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-09-09T11:47:00-IPS-001,2011-09-09T11:47Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2011-09-11T09:00:00-IPS-001,2011-09-11T09:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-09-16T19:00:00-IPS-001,2011-09-16T19:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-17T02:56:00-IPS-001,2011-09-17T02:56Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-17T10:00:00-IPS-001,2011-09-17T10:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-09-18T10:00:00-IPS-001,2011-09-18T10:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-21T06:30:00-IPS-001,2011-09-21T06:30Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-09-22T03:00:00-IPS-001,2011-09-22T03:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-22T10:24:00-IPS-001,2011-09-22T10:24Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-09-24T04:00:00-IPS-001,2011-09-24T04:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-09-24T08:00:00-IPS-001,2011-09-24T08:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-09-24T09:06:00-IPS-001,2011-09-24T09:06Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-09-26T12:10:00-IPS-001,2011-09-26T12:10Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-28T20:30:00-IPS-001,2011-09-28T20:30Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-01T19:00:00-IPS-001,2011-10-01T19:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-10-02T06:53:00-IPS-001,2011-10-02T06:53Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-10-03T03:00:00-IPS-001,2011-10-03T03:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-10-03T22:30:00-IPS-001,2011-10-03T22:30Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-10-05T02:32:00-IPS-001,2011-10-05T02:32Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-10-05T06:47:00-IPS-001,2011-10-05T06:47Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-06T12:00:00-IPS-001,2011-10-06T12:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-07T02:47:00-IPS-001,2011-10-07T02:47Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-07T11:30:00-IPS-001,2011-10-07T11:30Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-10-15T08:26:00-IPS-001,2011-10-15T08:26Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-10-18T02:00:00-IPS-001,2011-10-18T02:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-10-22T22:00:00-IPS-001,2011-10-22T22:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-24T17:30:00-IPS-001,2011-10-24T17:30Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-10-24T17:48:00-IPS-001,2011-10-24T17:48Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-29T10:00:00-IPS-001,2011-10-29T10:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-10-30T08:49:00-IPS-001,2011-10-30T08:49Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2011-11-01T08:00:00-IPS-001,2011-11-01T08:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-11-04T15:09:00-IPS-001,2011-11-04T15:09Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-11-06T05:00:00-IPS-001,2011-11-06T05:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-11-07T15:00:00-IPS-001,2011-11-07T15:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-11-12T03:30:00-IPS-001,2011-11-12T03:30Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-11-12T05:30:00-IPS-001,2011-11-12T05:30Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-11-14T02:06:00-IPS-001,2011-11-14T02:06Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-11-19T07:30:00-IPS-001,2011-11-19T07:30Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-11-20T14:00:00-IPS-001,2011-11-20T14:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-11-23T05:03:00-IPS-001,2011-11-23T05:03Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-11-25T21:39:00-IPS-001,2011-11-25T21:39Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-11-26T18:09:00-IPS-001,2011-11-26T18:09Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-11-28T15:00:00-IPS-001,2011-11-28T15:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-11-28T21:15:00-IPS-001,2011-11-28T21:15Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
